604-77-1815|Darryle|O'Keefe|M|77441 Laken Spur|White Mountain|AK|99784|64.7028|-163.4218|190|Therapist, nutritional|1991-01-05|8|young_adults.json|0|2013-01-01|utilities|102.15|NULL|NULL|NULL
604-77-1815|Darryle|O'Keefe|M|77441 Laken Spur|White Mountain|AK|99784|64.7028|-163.4218|190|Therapist, nutritional|1991-01-05|8|young_adults.json|1|2013-01-01|kids_pets|44.92|NULL|NULL|NULL
604-77-1815|Darryle|O'Keefe|M|77441 Laken Spur|White Mountain|AK|99784|64.7028|-163.4218|190|Therapist, nutritional|1991-01-05|8|young_adults.json|2|2013-01-02|kids_pets|103.76|NULL|NULL|NULL
604-77-1815|Darryle|O'Keefe|M|77441 Laken Spur|White Mountain|AK|99784|64.7028|-163.4218|190|Therapist, nutritional|1991-01-05|8|young_adults.json|3|2013-01-03|gas_transport|42.74|NULL|NULL|NULL
604-77-1815|Darryle|O'Keefe|M|77441 Laken Spur|White Mountain|AK|99784|64.7028|-163.4218|190|Therapist, nutritional|1991-01-05|8|young_adults.json|4|2013-01-05|utilities|53.54|NULL|NULL|NULL
604-77-1815|Darryle|O'Keefe|M|77441 Laken Spur|White Mountain|AK|99784|64.7028|-163.4218|190|Therapist, nutritional|1991-01-05|8|young_adults.json|5|2013-01-05|personal_care|0.41|NULL|NULL|NULL
604-77-1815|Darryle|O'Keefe|M|77441 Laken Spur|White Mountain|AK|99784|64.7028|-163.4218|190|Therapist, nutritional|1991-01-05|8|young_adults.json|6|2013-01-05|kids_pets|19.04|NULL|NULL|NULL
604-77-1815|Darryle|O'Keefe|M|77441 Laken Spur|White Mountain|AK|99784|64.7028|-163.4218|190|Therapist, nutritional|1991-01-05|8|young_adults.json|7|2013-01-05|home|67.61|NULL|NULL|NULL
604-77-1815|Darryle|O'Keefe|M|77441 Laken Spur|White Mountain|AK|99784|64.7028|-163.4218|190|Therapist, nutritional|1991-01-05|8|young_adults.json|8|2013-01-08|gas_transport|62.66|NULL|NULL|NULL
604-77-1815|Darryle|O'Keefe|M|77441 Laken Spur|White Mountain|AK|99784|64.7028|-163.4218|190|Therapist, nutritional|1991-01-05|8|young_adults.json|9|2013-01-08|shopping_net|14.06|NULL|NULL|NULL
604-77-1815|Darryle|O'Keefe|M|77441 Laken Spur|White Mountain|AK|99784|64.7028|-163.4218|190|Therapist, nutritional|1991-01-05|8|young_adults.json|10|2013-01-08|shopping_pos|3.0|NULL|NULL|NULL
604-77-1815|Darryle|O'Keefe|M|77441 Laken Spur|White Mountain|AK|99784|64.7028|-163.4218|190|Therapist, nutritional|1991-01-05|8|young_adults.json|11|2013-01-09|misc_pos|0.21|NULL|NULL|NULL
