785-66-6143|Arne|Rodriguez|M|939 Roberts Throughway Suite 268|Salem|AL|36874|32.6212|-85.184|7901|Tree surgeon|1971-05-06|1505|40_60_smaller_cities.json|1705|2015-12-16|entertainment|29.32
281-20-8708|Wendel|Welch|M|770 Waters River Suite 670|Lithonia|GA|30038|33.6823|-84.161|90178|Designer, multimedia|1966-01-24|73769534|40_60_smaller_cities.json|314|2015-12-16|grocery_pos|86.73
463-85-3740|Laylah|Schneider|F|6480 Jenkins Burgs Apt. 570|Smithville|MO|64089|39.3917|-94.5592|11470|Risk analyst|1985-02-22|122|female_30_40_smaller_cities.json|1270|2015-12-16|entertainment|105.05
785-66-6143|Arne|Rodriguez|M|939 Roberts Throughway Suite 268|Salem|AL|36874|32.6212|-85.184|7901|Tree surgeon|1971-05-06|1505|40_60_smaller_cities.json|1559|2015-12-16|travel|80.45
785-66-6143|Arne|Rodriguez|M|939 Roberts Throughway Suite 268|Salem|AL|36874|32.6212|-85.184|7901|Tree surgeon|1971-05-06|1505|40_60_smaller_cities.json|1433|2015-12-16|utilities|115.18
785-66-6143|Arne|Rodriguez|M|939 Roberts Throughway Suite 268|Salem|AL|36874|32.6212|-85.184|7901|Tree surgeon|1971-05-06|1505|40_60_smaller_cities.json|1288|2015-12-16|grocery_pos|40.77
281-20-8708|Wendel|Welch|M|770 Waters River Suite 670|Lithonia|GA|30038|33.6823|-84.161|90178|Designer, multimedia|1966-01-24|73769534|40_60_smaller_cities.json|780|2015-12-16|travel|1.38
580-33-2047|Elvie|Torp|F|8394 Littel Ramp Apt. 220|Youngstown|OH|44502|41.0774|-80.6409|163222|Research scientist (life sciences)|1957-08-30|76|40_60_smaller_cities.json|2552|2015-12-16|misc_net|0.21
768-40-7246|Domonique|Reinger|F|7552 Earline Extensions Suite 723|Brooklyn|NY|11215|40.6669|-73.9828|2504700|Scientist, marine|1958-03-14|291|40_60_bigger_cities.json|2696|2015-12-16|travel|0.22
157-00-3106|Winona|Green|F|8361 Rippin Glens Apt. 348|Casper|WY|82609|42.8406|-106.2806|69012|Occupational hygienist|1960-12-27|142950|40_60_smaller_cities.json|930|2015-12-16|grocery_pos|55.13
580-12-7113|Jarvis|Miller|M|781 O'Keefe Haven Apt. 630|Flint|MI|48504|43.0573|-83.7498|162969|Financial adviser|1970-01-02|6|40_60_smaller_cities.json|1256|2015-12-16|utilities|92.16
463-85-3740|Laylah|Schneider|F|6480 Jenkins Burgs Apt. 570|Smithville|MO|64089|39.3917|-94.5592|11470|Risk analyst|1985-02-22|122|female_30_40_smaller_cities.json|2043|2015-12-16|health_fitness|8.92
